number,task,duration,equipment,kinks,intensity
1,Drink a glass of water.,15 minutes,,,easy
2,"Balance a book on your head for 10 minutes. If it falls off, start again.",15 minutes,,,easy
3,Go outside and collect a bag of litter.,1 hour,,,easy
4,"Play a round/level/game of the last video game you played. If you lose, do another task.",30 minutes,,,easy
5,Do 2 more random tasks from this list.,N/A,,,medium
6,"Write at least 1 paragraph to your keyholder, thanking them for all their time and attention",30 minutes,,,easy
7,"Watch or read an earlier version of a film or story you've already seen. For example, if you like 'Indiana Jones and the Crystal Skull', you could go and watch 'Raiders of the Lost Ark'.",2 hours,,,medium
8,"Listen to the song ""baby shark' on repeat for 30 minutes",30 minutes,,,easy
9,Use light mode on all apps that support it until you go to bed.,1 day,,,medium
10,"Think about 5 things you love about yourself, tell your KH",15 minutes,,,easy
11,"Send a genuine compliment to at least 5 different person (can be on discord, to family, friend, who you want)",15 minutes,,,easy
12,Hop on voice chat and talk to whoever joins for at least an hour.,1 hour,,,easy
13,Hop on a community gaming server (eg Minecraft or Terraria) and play for at least an hour.,1 hour,,,easy
14,"Ask in general chat for a random picture. Draw that picture on your body as best you can, then post the two pictures side-by-side in task-verification.",30 minutes,,bodywriting,medium
15,Add another task to this list.,15 minutes,,,easy
16,complete the following WriteForMe (jigsaw+linetyping) https://writeforme.org/task/63c1cba878d0a8c16e752fe8,1 hour,,lines,easy
17,Slap your balls with a banana 50 times (other fruits/veg could be acceptable.),30 minutes,,cbt,medium
18,Shove an ice cube up your butt then plug yourself. Wait until it melts and then take the plug out.,30 minutes,buttplug,"anal,pain",hard
19,"Buy a piece of ginger a few inches in length. Peel the outside and cut an indented notch in the base (so it won't get lost). Then, use it as a butt plug. Keep it in for (10/15/20) minutes.",30 minutes,,"anal,pain",hard
20,"Make yourself a nice meal, like a Sunday roast. Before eating it, put it in a blender.",2 hours,blender,humiliation,hard
21,Eat some chilli/(something spicy). Fuck your mouth for 5 minutes with a dildo then ride the same dildo for 5 minutes.,15 minutes,dildo,"anal,oral,pain",hard
22,Clean your kitchen's floor on your hands and knees. (Bonus points for doing it naked!),30 minutes,,humiliation,medium
23,"Pick a dish that involves lots of raw ingredients. Make the dish, burning or entirely undercooking each ingredient and eat it.",1 hour,,humiliation,medium
24,"Every sentence that you write to your keyholder has to end in ""meow"" for 24h",1 day,,humiliation,easy
25,"Clean your toilet. Really thoroughly, not just the bowl, but around the base and under the rim too.",30 minutes,,humiliation,easy
26,"Choose one of the media channels. For 48h, whenever you notice a new post in there, you must change your wallpaper/background image to the most recently posted.",1 day+,,,medium
27,Verify every picture on Chaster.,2 hours,,,easy
28,add time to every pillory.,1 hour,,,easy
29,"Send a message to a non-kinky friend, containing the words ""please"", ""lock"", and ""me"" (in any order, with any other words added).",15 minutes,,humilation,easy
30,Attend a â°â”ƒcommunity-events.,2 hour,,,easy
31,Buy a new smaller/spikier/more secure/more embarrassing cage or belt.,30 minutes,costs money,findom,medium
32,Work-out / exercise for 30 minutes.,30 minutes,,,easy
33,complete this jigsaw https://www.jigsawplanet.com/?rc=play&pid=258ce5b2146a,30 minutes,,,easy
34,ask you keyholder for a handwriting assigment. at least 1000 words in total. (e.g write a 20 word sentence 50 times),1 hour,,,easy
35,create an original chastity themed caption and post it in ðŸ“·â”ƒcaption-pics,30 minutes,,,easy
36,create an original chastity themed caption with an picture showing you and post it in ðŸ“·â”ƒcaption-pics,30 minutes,,public,easy
37,put on some nipple clamps to wear during the next task and roll again.,N/A,nipple clamps,pain,medium
38,"make a nice picture/drawing for your keyholder. Subject of your choice, or ask keyholder if you can't think of anything.",2 hours,,,easy
39,"Wear a small butt plug with a minty tooth paste as lubricant, for one hour.",1 hour,buttplug,"anal,pain",medium
40,Do not use furniture when at home today. Stand or use the floor.,1 day,,,medium
41,"Stand 15 minutes with a cup of water on your head, in your highest heels and with a vibrating plug. If it falls, start over. Try at least 3 times.",30 minutes,"heels,vibrating plug","humiliation,anal",medium
43,Try on every gag that you have for 10 minutes each. Report every change to your keyholder.,30 minutes,gags,oral,easy
44,"Go grocery shopping in a short skirt, thong, stockings, suspender belt, and stiletto heels.",30 minutes,outfit,public,hard
45,"Take a warm bath, put on a comfy robe, and watch a nice movie.",2 hours,,,easy
46,Watch any LOTR movie ballgagged and with your hands cuffed behind your back.,2 hours,cuffs,"oral,bondage",medium
47,Take a walk of at least 30 minutes plugged and collared.,30 minutes,"collar,plug",anal,medium
48,Refer to yourself only in 3rd person as â€˜slaveâ€™ or whatever name your keyholder chooses. Beg to be punished for infractions.,1 day,,humiliation,easy
49,Ask the forum for advice on deep-throating a dildo.,15 minutes,dildo,oral,easy
50,Ask your keyholder to choose a â€˜Little For Bigâ€™ outfit for you to buy.,15 minutes,costs money,findom,medium
51,Use clover nipple clamps attached to an ice lock to secure you in bondage for 20 minutes. Test first. Handcuffs and ring gag.,30 minutes,"nipple clamps,ice lock,cuffs,ring gag","pain,bondage",medium
